"CU","Issue","Titulo","Modulo","EstadoGitHub","EstadoReal","Estimacion","Criterios","Funcional","Pruebas","DBSeguridad","QA","Documentacion","PorcentajeMain","PorcentajePR117","RamaLocalPuertaA","ProyectadoQA_Azure","Evidencia","Brecha","Accion","Confianza"
"CU-011","#1","CU-011 Como usuario quiero registrarme en el sistema para poder acceder a la plataforma","Autenticación","#1 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-012","#2 / #3","CU-012 Como usuario, quiero recuperar mi contraseña, para poder acceder nuevamente al sistema si la llego a olvidar","Autenticación","#2 OPEN; #3 CLOSED","Implementada; QA pendiente","no especificada","5","35","20","10","0","2","72","72","72","88","MVC/API/SQL de recuperación y prueba de limitador","Dos issues contradictorios; QA SMTP/entorno pendiente","Conservar #2 canónica y enlazar #3 como duplicada","media"
"CU-013","#4","CU-013 Como usuario registrado quiero iniciar sesión en el sistema para acceder a las herramientas y módulos de mi perfil","Autenticación","#4 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-014","#5","CU-014 Como usuario autenticado quiero cerrar mi sesión para proteger mi información al terminar de usar el sistema","Autenticación","#5 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-021","#6","CU-021 Como usuario registrado, quiero consultar mi información personal, para verificar que mis datos estén actualizados.","Perfil","#6 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-022","#7","CU-022 Como usuario registrado, quiero actualizar mi información personal, para mantener mis datos actualizados.","Perfil","#7 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-023","#8","CU-023 Como usuario registrado, quiero actualizar mi información personal, para mantener mis datos actualizados.","Perfil","#8 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-031","#9","CU-031 Como cliente quiero enviar consultas mediante un formulario para recibir atención y seguimiento a mis solicitudes","Consultas","#9 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-032","#10","CU-032 Como administrador quiero dar seguimiento a las consultas registradas para brindar una respuesta oportuna","Consultas","#10 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-033","#11","CU-033 Como empresa/sistema quiero almacenar el historial de consultas para mantener trazabilidad y mejorar el servicio","Consultas","#11 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-041","#12","CU-041 Como administrador quiero crear y administrar roles de usuario para definir niveles de acceso dentro del sistema","Seguridad","#12 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-042","#13","CU-042 Como administrador quiero asignar permisos específicos a cada rol para controlar el acceso a los módulos del sistema","Seguridad","#13 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-043","#14","CU-043 Como empresa/sistema quiero registrar las acciones realizadas por los usuarios para garantizar trazabilidad y seguridad","Seguridad","#14 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-051","#15","CU-051 Como administrador, quiero registrar entradas y salidas de productos, para mantener actualizado el inventario.","Inventario","#15 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-052","#16","CU-052 Como administrador, quiero visualizar el stock disponible y alertas de productos, para evitar desabastecimiento o pérdidas.","Inventario","#16 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-053","#17","CU-053 Como encargado de bodega quiero registrar un nuevo producto en el sistema para agregarlo al catálogo de inventario","Inventario","#17 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","10","5","0","2","37","37","42","47","Issue e implementación histórica; regresión general; ciclo privado de imagen, retiro y limpieza probados","QA de navegador y almacenamiento configurado pendiente","Ejecutar QA manual tras publicación autorizada","baja"
"CU-054","#18","CU-054 Como usuario operativo quiero buscar y visualizar los detalles de un producto para consultar su disponibilidad y características","Inventario","#18 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-055","#19","CU-055 Como administrador quiero modificar la información de un producto (precio, descripción, stock mínimo) para mantener los datos actualizados","Inventario","#19 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","10","5","0","2","37","37","42","47","Issue e implementación histórica; regresión general; ciclo privado de imagen, retiro y limpieza probados","QA de navegador y almacenamiento configurado pendiente","Ejecutar QA manual tras publicación autorizada","baja"
"CU-056","#20","CU-056 Como administrador quiero inactivar o eliminar un producto del catálogo para evitar que siga siendo comercializado","Inventario","#20 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","10","5","0","2","37","37","42","47","Issue e implementación histórica; regresión general; ciclo privado de imagen, retiro y limpieza probados","QA de navegador y almacenamiento configurado pendiente","Ejecutar QA manual tras publicación autorizada","baja"
"CU-061","#21","CU-061 Como administrador, quiero registrar y administrar la información de los clientes, para mantener actualizado su historial comercial.","Clientes y crédito","#21 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-062","#22","CU-062 Como administrador, quiero controlar el crédito y las deudas de los clientes, para proteger la estabilidad financiera de la empresa.","Clientes y crédito","#22 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-063","#23","CU-063 Como administrador quiero inactivar el perfil de un cliente para suspender su relación comercial con la distribuidora","Clientes y crédito","#23 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
"CU-071","#24","CU-071 Como vendedor, quiero registrar pedidos desde un dispositivo móvil, para realizar ventas de manera rápida y eficiente.","Ventas móviles","#24 CLOSED","Evidencia insuficiente para Done actual","no especificada","5","20","5","5","0","2","37","37","37","47","Issue e implementación histórica; regresión general","Criterios, pruebas focales y QA reproducible no especificados","Auditar antes de confirmar cierre","baja"
